NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
         Maternal/Child Health, 116 , 172 , 180 , 201 , 220 , 244 , 291 , 324 , 377 , 435 , 409 , 453 , 482 , 467 , 525 , 565 , 619 , 665 , 701 , 775 , 864 , 879 , 935 ," 1,081 "," 1,111 "," 1,290 "," 1,391 "," 1,510 "," 1,580 "," 1,631 "," 1,693 "," 1,934 "," 2,146 "," 2,298 "," 2,443 "," 2,533 "," 2,644 "," 2,813 "," 2,900 "," 3,002 "," 3,158 "," 3,271 "," 3,393 "," 3,477 "," 3,469 "," 3,436 "," 3,334 "," 3,763 "," 4,147 "," 3,947 "," 3,913 "," 3,674 "," 3,422 "," 3,544 "," 3,841 "," 3,808 "," 3,705 "," 3,856 "," 3,957 "
                          Federal  , 27 , 44 , 48 , 50 , 60 , 80 , 114 , 142 , 167 , 190 , 148 , 191 , 234 , 204 , 243 , 276 , 297 , 311 , 330 , 339 , 344 , 339 , 343 , 398 , 348 , 407 , 395 , 433 , 459 , 476 , 478 , 518 , 565 , 578 , 594 , 587 , 580 , 582 , 588 , 603 , 609 , 619 , 636 , 634 , 635 , 622 , 598 , 600 , 594 , 591 , 591 , 583 , 562 , 545 , 569 , 571 , 570 , 571 , 584 
                          State and Local, 89 , 127 , 133 , 150 , 159 , 164 , 176 , 182 , 210 , 244 , 261 , 263 , 248 , 264 , 282 , 290 , 322 , 354 , 371 , 436 , 520 , 540 , 593 , 683 , 763 , 883 , 996 ," 1,078 "," 1,121 "," 1,155 "," 1,216 "," 1,416 "," 1,581 "," 1,720 "," 1,850 "," 1,946 "," 2,064 "," 2,231 "," 2,312 "," 2,399 "," 2,549 "," 2,652 "," 2,757 "," 2,843 "," 2,834 "," 2,815 "," 2,736 "," 3,163 "," 3,552 "," 3,356 "," 3,322 "," 3,091 "," 2,860 "," 3,000 "," 3,272 "," 3,237 "," 3,135 "," 3,285 "," 3,373 "
         Vocational Rehabilitation, 20 , 22 , 25 , 29 , 33 , 41 , 58 , 88 , 115 , 131 , 155 , 180 , 184 , 190 , 202 , 210 , 210 , 219 , 220 , 224 , 223 , 229 , 233 , 246 , 257 , 262 , 270 , 289 , 300 , 308 , 318 , 332 , 343 , 338 , 360 , 360 , 352 , 367 , 378 , 389 , 421 , 449 , 463 , 469 , 468 , 461 , 498 , 497 , 489 , 518 , 558 , 552 , 530 , 523 , 526 , 536 , 545 , 547 , 557 
                          Federal  , 12 , 14 , 15 , 18 , 20 , 27 , 42 , 66 , 86 , 100 , 121 , 140 , 144 , 149 , 158 , 164 , 163 , 170 , 168 , 171 , 170 , 172 , 172 , 183 , 195 , 200 , 207 , 223 , 232 , 238 , 246 , 257 , 264 , 253 , 271 , 271 , 263 , 276 , 286 , 293 , 317 , 342 , 355 , 359 , 361 , 355 , 377 , 373 , 374 , 398 , 435 , 432 , 411 , 405 , 406 , 412 , 420 , 421 , 429 
                          State and Local, 8 , 8 , 10 , 11 , 13 , 15 , 16 , 22 , 29 , 31 , 34 , 40 , 40 , 41 , 44 , 46 , 48 , 49 , 52 , 53 , 53 , 57 , 61 , 62 , 62 , 62 , 63 , 66 , 68 , 70 , 72 , 75 , 79 , 85 , 89 , 89 , 89 , 91 , 92 , 96 , 104 , 107 , 108 , 110 , 106 , 106 , 121 , 124 , 115 , 120 , 122 , 120 , 119 , 118 , 120 , 123 , 125 , 126 , 128 
         Other Federal Programs*, 337 , 447 , 598 , 715 , 750 , 831 , 653 , 463 , 489 , 621 , 927 ," 1,102 ", 963 , 980 ," 1,086 ", 695 , 823 , 854 , 948 ," 1,116 "," 1,343 "," 1,334 "," 1,184 "," 1,044 "," 1,065 "," 1,108 "," 1,133 "," 1,197 "," 1,271 "," 1,331 "," 1,556 "," 1,844 "," 2,050 "," 2,265 "," 2,472 "," 2,552 "," 2,841 "," 3,118 "," 3,395 "," 3,855 "," 4,462 "," 5,295 "," 5,676 "," 6,015 "," 6,272 "," 6,363 "," 6,421 "," 6,721 "," 6,923 "," 7,299 "," 7,737 "," 9,559 "," 11,576 "," 12,961 "," 12,185 "," 12,551 "," 12,351 "," 12,238 "," 12,827 "
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 569 , 537 , 581 , 689 , 663 , 825 , 799 , 636 , 599 , 607 , 515 , 533 , 644 , 884 , 698 ," 1,372 "," 1,656 "," 1,685 "," 1,714 "," 1,889 "," 2,067 "," 1,783 "," 1,500 "," 2,026 "," 2,395 "," 2,564 "," 2,812 "," 3,006 "," 3,093 "," 3,125 "," 3,219 "," 3,153 "," 3,166 "," 3,206 "," 3,309 "," 3,385 "," 3,448 "," 3,420 "," 3,284 "," 3,495 "," 3,480 "," 3,752 "," 4,482 "," 5,512 "
         Other State and Local Programs**," 2,221 "," 2,399 "," 2,510 "," 2,773 "," 3,013 "," 3,392 "," 3,093 "," 2,661 "," 2,944 "," 3,226 "," 3,589 "," 3,682 "," 3,839 "," 4,296 "," 4,922 "," 5,321 "," 5,227 "," 5,662 "," 6,319 "," 7,074 "," 7,389 "," 8,454 "," 9,151 "," 9,546 "," 9,600 "," 10,133 "," 12,417 "," 13,721 "," 14,801 "," 15,018 "," 15,889 "," 16,126 "," 16,011 "," 17,304 "," 18,422 "," 17,490 "," 17,330 "," 17,934 "," 18,496 "," 18,839 "," 18,748 "," 20,362 "," 21,751 "," 23,878 "," 25,773 "," 26,929 "," 27,586 "," 28,631 "," 29,546 "," 30,750 "," 32,607 "," 32,048 "," 30,926 "," 31,287 "," 30,967 "," 32,311 "," 32,882 "," 33,397 "," 34,384 "
         School Health, 122 , 140 , 147 , 143 , 151 , 168 , 187 , 215 , 242 , 263 , 290 , 308 , 321 , 346 , 377 , 400 , 433 , 509 , 559 , 600 , 663 , 708 , 753 , 795 , 847 , 919 , 986 ," 1,040 "," 1,099 "," 1,185 "," 1,293 "," 1,363 "," 1,416 "," 1,553 "," 1,701 "," 1,785 "," 1,890 "," 2,037 "," 2,197 "," 2,330 "," 2,483 "," 2,689 "," 2,888 "," 3,032 "," 3,193 "," 3,363 "," 3,569 "," 3,895 "," 4,089 "," 4,201 "," 4,293 "," 4,282 "," 4,321 "," 4,418 "," 4,599 "," 4,830 "," 5,033 "," 5,324 "," 5,574 "
     Public Health Activity, 371 , 409 , 456 , 509 , 572 , 621 , 733 , 861 , 969 ," 1,174 "," 1,356 "," 1,676 "," 1,855 "," 2,123 "," 2,584 "," 2,967 "," 3,213 "," 3,815 "," 4,588 "," 5,375 "," 6,445 "," 7,531 "," 8,621 "," 9,251 "," 9,842 "," 11,212 "," 12,387 "," 13,572 "," 15,267 "," 17,773 "," 19,997 "," 22,129 "," 24,374 "," 26,779 "," 29,594 "," 31,003 "," 32,377 "," 34,832 "," 37,457 "," 40,731 "," 43,050 "," 46,792 "," 52,201 "," 54,228 "," 54,934 "," 57,252 "," 60,892 "," 65,969 "," 71,559 "," 74,191 "," 75,696 "," 74,425 "," 77,188 "," 78,973 "," 81,997 "," 85,787 "," 88,671 "," 91,364 "," 93,522 "
                          Federal  , 102 , 108 , 140 , 208 , 226 , 214 , 294 , 401 , 470 , 564 , 594 , 791 , 893 , 854 , 969 ," 1,043 "," 1,110 "," 1,152 "," 1,154 "," 1,108 "," 1,235 "," 1,216 "," 1,141 "," 1,232 "," 1,298 "," 1,326 "," 1,340 "," 1,529 "," 1,795 "," 2,028 "," 2,263 "," 2,607 "," 2,915 "," 3,167 "," 3,630 "," 3,665 "," 3,759 "," 3,931 "," 4,065 "," 4,546 "," 4,879 "," 5,779 "," 8,018 "," 8,899 "," 8,958 "," 9,169 "," 9,513 "," 9,696 "," 9,880 "," 11,995 "," 14,185 "," 10,729 "," 10,846 "," 10,333 "," 10,833 "," 11,329 "," 11,781 "," 12,590 "," 12,008 "
                          State and Local, 269 , 302 , 316 , 301 , 347 , 407 , 439 , 460 , 499 , 610 , 762 , 885 , 962 ," 1,269 "," 1,615 "," 1,924 "," 2,104 "," 2,663 "," 3,434 "," 4,267 "," 5,210 "," 6,316 "," 7,480 "," 8,019 "," 8,544 "," 9,886 "," 11,047 "," 12,043 "," 13,472 "," 15,745 "," 17,734 "," 19,522 "," 21,459 "," 23,613 "," 25,964 "," 27,338 "," 28,618 "," 30,901 "," 33,392 "," 36,185 "," 38,170 "," 41,013 "," 44,184 "," 45,329 "," 45,977 "," 48,083 "," 51,378 "," 56,274 "," 61,680 "," 62,196 "," 61,511 "," 63,696 "," 66,342 "," 68,641 "," 71,164 "," 74,458 "," 76,891 "," 78,773 "," 81,515 "
     Investment," 2,508 "," 2,806 "," 3,427 "," 3,677 "," 4,264 "," 4,666 "," 4,855 "," 5,063 "," 5,713 "," 6,826 "," 7,516 "," 8,388 "," 9,307 "," 9,717 "," 10,661 "," 12,177 "," 13,449 "," 13,905 "," 15,285 "," 16,961 "," 19,857 "," 22,737 "," 26,006 "," 28,356 "," 29,877 "," 30,064 "," 30,974 "," 34,234 "," 38,765 "," 42,516 "," 47,323 "," 50,382 "," 55,322 "," 58,856 "," 61,552 "," 63,464 "," 64,820 "," 70,433 "," 75,133 "," 80,764 "," 83,315 "," 87,376 "," 96,769 "," 103,719 "," 111,376 "," 119,725 "," 125,157 "," 138,394 "," 148,011 "," 138,940 "," 142,652 "," 149,182 "," 153,347 "," 154,140 "," 149,778 "," 154,075 "," 156,713 "," 168,289 "," 174,364 "
         Research, 694 , 886 ," 1,068 "," 1,219 "," 1,366 "," 1,521 "," 1,624 "," 1,775 "," 1,877 "," 1,924 "," 1,953 "," 2,109 "," 2,357 "," 2,502 "," 2,767 "," 3,372 "," 3,707 "," 3,864 "," 4,438 "," 4,805 "," 5,429 "," 5,705 "," 6,025 "," 6,543 "," 7,608 "," 8,320 "," 9,002 "," 10,025 "," 10,836 "," 11,738 "," 12,678 "," 13,819 "," 15,091 "," 16,472 "," 17,758 "," 18,670 "," 17,808 "," 19,640 "," 21,512 "," 23,365 "," 25,475 "," 28,504 "," 32,016 "," 34,844 "," 38,578 "," 40,319 "," 41,163 "," 42,576 "," 44,283 "," 45,348 "," 49,125 "," 49,575 "," 48,380 "," 46,689 "," 46,036 "," 46,391 "," 47,382 "," 50,068 "," 52,562 "
         Structures & Equipment," 1,814 "," 1,921 "," 2,360 "," 2,458 "," 2,898 "," 3,145 "," 3,230 "," 3,288 "," 3,836 "," 4,902 "," 5,563 "," 6,279 "," 6,950 "," 7,215 "," 7,895 "," 8,805 "," 9,742 "," 10,041 "," 10,847 "," 12,156 "," 14,428 "," 17,033 "," 19,982 "," 21,813 "," 22,269 "," 21,744 "," 21,972 "," 24,209 "," 27,929 "," 30,778 "," 34,645 "," 36,563 "," 40,231 "," 42,384 "," 43,794 "," 44,795 "," 47,012 "," 50,793 "," 53,622 "," 57,399 "," 57,840 "," 58,872 "," 64,753 "," 68,875 "," 72,798 "," 79,406 "," 83,994 "," 95,818 "," 103,728 "," 93,592 "," 93,527 "," 99,606 "," 104,967 "," 107,451 "," 103,741 "," 107,685 "," 109,331 "," 118,221 "," 121,802 "
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ," 3,146 "," 8,065 "," 9,759 "," 11,220 "," 12,962 "," 15,138 "," 17,639 "," 20,153 "," 24,501 "," 29,782 "," 34,883 "," 40,354 "," 46,133 "," 53,254 "," 63,419 "," 75,077 "," 84,361 "," 94,825 "," 104,440 "," 112,766 "," 122,212 "," 133,420 "," 144,045 "," 163,089 "," 183,842 "," 213,827 "," 244,183 "," 272,338 "," 302,084 "," 329,255 "," 350,919 "," 371,226 "," 378,832 "," 398,366 "," 428,225 "," 475,984 "," 518,966 "," 557,928 "," 609,032 "," 656,679 "," 718,736 "," 767,718 "," 821,603 "," 884,699 "," 928,734 "," 963,496 "," 1,004,005 "," 1,047,629 "," 1,129,527 "," 1,206,158 "," 1,258,929 "," 1,303,318 "," 1,366,153 "
